Aboleth	10
Air Elemental	5
Animated Armor	1
Animated Flying Sword	1/4
Animated Rug of Smothering	2
Ankheg	2
Assassin	8
Awakened Shrub	0
Awakened Tree	2
Axe Beak	1/4
Azer Sentinel	2
Balor	19
Bandit	1/8
Bandit Captain	2
Barbed Devil	5
Basilisk	3
Bearded Devil	3
Behir	11
Berserker	2
Black Dragon Wyrmling	2
Young Black Dragon	7
Adult Black Dragon	14
Ancient Black Dragon	21
Black Pudding	4
Blink Dog	1/4
Blue Dragon Wyrmling	3
Young Blue Dragon	9
Adult Blue Dragon	16
Ancient Blue Dragon	23
Bone Devil	9
Brass Dragon Wyrmling	1
Young Brass Dragon	6
Adult Brass Dragon	13
Ancient Brass Dragon	20
Bronze Dragon Wyrmling	2
Young Bronze Dragon	8
Adult Bronze Dragon	15
Ancient Bronze Dragon	22
Bugbear Stalker	3
Bugbear Warrior	1
Bulette	5
Centaur Trooper	2
Chain Devil	8
Chimera	6
Chuul	4
Clay Golem	9
Cloaker	8
Cloud Giant	9
Cockatrice	1/2
Commoner	0
Copper Dragon Wyrmling	1
Young Copper Dragon	7
Adult Copper Dragon	14
Ancient Copper Dragon	21
Couatl	4
Swarm of Crawling Claws	3
Cultist	1/8
Cultist Fanatic	2
Darkmantle	1/2
Death Dog	1
Deva	10
Djinni	11
Doppelganger	3
Dragon Turtle	17
Dretch	1/4
Drider	6
Druid	2
Dryad	1
Earth Elemental	5
Efreeti	11
Erinyes	12
Ettercap	2
Ettin	4
Fire Elemental	5
Fire Giant	9
Flesh Golem	5
Frost Giant	8
Shrieker Fungus	0
Violet Fungus	1/4
Gargoyle	2
Gelatinous Cube	2
Ghast	2
Ghost	4
Ghoul	1
Gibbering Mouther	2
Glabrezu	9
Gladiator	5
Gnoll Warrior	1/2
Goblin Minion	1/8
Goblin Warrior	1/4
Goblin Boss	1
Gold Dragon Wyrmling	3
Young Gold Dragon	10
Adult Gold Dragon	17
Ancient Gold Dragon	24
Gorgon	5
Gray Ooze	1/2
Green Dragon Wyrmling	2
Young Green Dragon	8
Adult Green Dragon	15
Ancient Green Dragon	22
Green Hag	3
Grick	2
Griffon	2
Grimlock	1/4
Guardian Naga	10
Guard	1/8
Guard Captain	4
Half-Dragon	5
Harpy	1
Hell Hound	3
Hezrou	8
Hill Giant	5
Hippogriff	1
Hobgoblin Warrior	1/2
Hobgoblin Captain	3
Homunculus	0
Horned Devil	11
Hydra	8
Ice Devil	14
Imp	1
Incubus	4
Invisible Stalker	6
Iron Golem	16
Knight	3
Kobold Warrior	1/8
Kraken	23
Lamia	4
Lemure	0
Lich	21
Mage	6
Archmage	12
Magmin	1/2
Manticore	3
Marilith	16
Medusa	6
Dust Mephit	1/2
Ice Mephit	1/2
Magma Mephit	1/2
Steam Mephit	1/4
Merfolk Skirmisher	1/8
Merrow	2
Mimic	2
Minotaur of Baphomet	3
Mummy	3
Mummy Lord	15
Nalfeshnee	13
Night Hag	5
Nightmare	3
Noble	1/8
Ochre Jelly	2
Ogre	2
Oni	7
Otyugh	5
Owlbear	3
Pegasus	2
Phase Spider	3
Pirate	1
Pirate Captain	6
Pit Fiend	20
Planetar	16
Priest Acolyte	1/4
Priest	2
Pseudodragon	1/4
Purple Worm	15
Quasit	1
Rakshasa	13
Red Dragon Wyrmling	4
Young Red Dragon	10
Adult Red Dragon	17
Ancient Red Dragon	24
Remorhaz	11
Roc	11
Roper	5
Rust Monster	1/2
Sahuagin Warrior	1/2
Salamander	5
Satyr	1/2
Scout	1/2
Sea Hag	2
Shadow	1/2
Shambling Mound	5
Shield Guardian	7
Silver Dragon Wyrmling	2
Young Silver Dragon	9
Adult Silver Dragon	16
Ancient Silver Dragon	23
Skeleton	1/4
Warhorse Skeleton	1/2
Minotaur Skeleton	2
Solar	21
Specter	1
Sphinx of Wonder	1
Sphinx of Lore	11
Sphinx of Valor	17
Spirit Naga	8
Sprite	1/4
Spy	1
Stirge	1/8
Stone Giant	7
Stone Golem	10
Storm Giant	13
Succubus	4
Tarrasque	30
Tough	1/2
Tough Boss	4
Treant	9
Troll	5
Troll Limb	1/2
Unicorn	5
Vampire Familiar	3
Vampire Spawn	5
Vampire	13
Vrock	6
Warrior Infantry	1/8
Warrior Veteran	3
Water Elemental	5
Werebear	5
Wereboar	4
Wererat	2
Weretiger	4
Werewolf	3
